PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dLongitudinalAngle,SpinAxis3dTransverseAngle,SpinAxis3dTilt,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,PitchTrajectory3rdOrderXc0,PitchTrajectory3rdOrderXc1,PitchTrajectory3rdOrderXc2,PitchTrajectory3rdOrderXc3,PitchTrajectory3rdOrderYc0,PitchTrajectory3rdOrderYc1,PitchTrajectory3rdOrderYc2,PitchTrajectory3rdOrderYc3,PitchTrajectory3rdOrderZc0,PitchTrajectory3rdOrderZc1,PitchTrajectory3rdOrderZc2,PitchTrajectory3rdOrderZc3
1,2026-02-06,11:01:46.75,1,1,"Smith, Shane",681343,Right,WHI_SOX30,"Acuna, Luisangel",682668,Right,WHI_SOX30,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.18421,-1.642765,-3.488447,2169.059591,209.896529,1:00,5.76554,2.21207,6.17165,-16.27639,14.76772,7.95737,2.88871,-0.35066,86.56836,-4.727419,-2.056553,0.401015,,,,,,,,,,,,-5.00205,8.34768,-1.95172,50,5.63251,7.9893,-136.6875,-4.41939,-9.52995,28.14258,-16.26989,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,e7667020-0385-11f1-8e19-276118046144,93.9925,,,7.61585,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:01:46.75,2026-02-06T11:01:46.7500032-07:00,2026-02-06T18:01:46.7500032Z,,v3,,,,"Hays, Austin",669720,Right,WHI_SOX30,2aa7ebff-7bbc-4634-9e3f-36ce18922e03,54.32594,-137.57529,14.07129,5.76383,-3.90615,-8.13494,-2.20849,8.28994,-4.76497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.33378,-137.81579,15.499,-2.22208,5.76547,-3.95649,-7.83608,-0.46516,-2.21199,8.39718,-5.40159,0.99083
2,2026-02-06,11:02:07.11,1,2,"Smith, Shane",681343,Right,WHI_SOX30,"Acuna, Luisangel",682668,Right,WHI_SOX30,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.60721,-1.817479,-1.793474,2229.547034,211.906151,1:00,5.6628,2.24977,6.27756,-14.99209,15.84729,9.24229,2.73685,1.36632,86.24422,-4.692542,-0.123074,0.399691,,,,,,,,,,,,-5.27941,9.03524,-2.12147,50,5.52105,3.89985,-137.37196,-4.78228,-10.06287,31.14886,-14.9523,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,f38aa740-0385-11f1-8e19-276118046144,94.30395,,,8.36299,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:02:07.11,2026-02-06T11:02:07.1149568-07:00,2026-02-06T18:02:07.1149568Z,,v3,,,,"Hays, Austin",669720,Right,WHI_SOX30,5a6326e2-f2d8-4198-b339-e0f5085de4ef,54.2186,-138.32521,15.57443,5.6604,-4.3247,-7.47615,-2.24553,4.2078,-5.03144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.22784,-138.60896,17.263,-2.63442,5.66272,-4.39591,-7.05239,-0.66114,-2.24966,4.33452,-5.7855,1.17645
3,2026-02-06,11:02:27.79,1,3,"Smith, Shane",681343,Right,WHI_SOX30,"Acuna, Luisangel",682668,Right,WHI_SOX30,Undefined,1,Top,0,1,1,Curveball,Curveball,FoulBallFieldable,Undefined,Undefined,Undefined,0,0,,80.61233,0.195338,-0.845642,2230.479479,15.101887,6:30,5.95267,2.15472,5.93878,-54.82668,-12.39493,-3.65575,1.56501,1.06556,75.17958,-9.789015,-1.504651,0.468832,,,,,,,,,,,,1.67697,-6.14276,-2.0852,50,5.93683,1.86597,-117.36035,-1.40679,2.35862,20.45663,-40.81364,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,ffe64210-0385-11f1-8e19-276118046144,80.39654,,,5.43275,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:02:27.79,2026-02-06T11:02:27.7902848-07:00,2026-02-06T18:02:27.7902848Z,,v3,,,,"Hays, Austin",669720,Right,WHI_SOX30,04f967af-7365-4d8c-b833-12b045ddc550,54.56455,-118.1533,10.22831,5.9607,0.17525,-20.40682,-2.15576,1.77454,1.17931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.56674,-118.21451,10.55986,-0.47088,5.95282,0.39574,-21.60128,1.69644,-2.15474,1.7461,1.3334,-0.21884
4,2026-02-06,11:02:56.14,1,4,"Smith, Shane",681343,Right,WHI_SOX30,"Acuna, Luisangel",682668,Right,WHI_SOX30,Undefined,1,Top,0,1,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,95.08748,-1.299389,-2.280497,2044.880802,193.381681,12:30,5.81348,2.27018,5.99103,-14.30591,16.4871,3.69067,3.41598,0.46321,86.84342,-4.033184,-1.617673,0.39939,,,,,,,,,,,,-2.51827,9.11319,-2.09236,50,5.703,5.33065,-138.02983,-3.55647,-4.86065,30.58657,-14.58422,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,10c8eba0-0386-11f1-8e19-276118046144,94.37491,,,8.24406,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:02:56.14,2026-02-06T11:02:56.1426944-07:00,2026-02-06T18:02:56.1426944Z,,v3,,,,"Hays, Austin",669720,Right,WHI_SOX30,0a03d08f-cfab-4751-89ed-419de3293439,54.5053,-139.0246,15.29328,5.81096,-3.08215,-7.29211,-2.2683,5.48874,-2.43032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.51438,-139.30498,16.97203,-2.63517,5.8134,-3.15759,-6.84046,-0.70897,-2.27013,5.54545,-2.76986,0.53298
5,2026-02-06,11:03:29.07,2,1,"Smith, Shane",681343,Right,WHI_SOX30,"Adams, Mason",690279,Right,WHI_SOX30,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,80.54574,-1.050596,-2.657704,2244.508524,12.544573,6:30,5.92426,2.22565,4.97175,-59.56066,-14.82619,-3.60307,-0.03262,-0.58667,74.61337,-11.666873,-3.295601,0.481385,,,,,,,,,,,,1.01595,-6.59737,-1.96573,50,5.77365,5.57476,-116.81554,-4.4212,1.39866,22.76242,-41.25658,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,246dc270-0386-11f1-8e19-276118046144,78.29999,,,5.93238,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:03:29.07,2026-02-06T11:03:29.0756096-07:00,2026-02-06T18:03:29.0756096Z,,v3,,,,"Hays, Austin",669720,Right,WHI_SOX30,582b4121-13d7-49a7-a877-65b48f145b15,55.53008,-117.88819,11.38121,5.93619,-2.47703,-20.62829,-2.22688,5.50885,0.69933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.53372,-117.98153,11.8446,-0.60313,5.9245,-2.17768,-22.1144,1.93427,-2.22568,5.47825,0.85124,-0.19772
6,2026-02-06,11:03:52.59,2,2,"Smith, Shane",681343,Right,WHI_SOX30,"Adams, Mason",690279,Right,WHI_SOX30,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.84897,-1.403133,-1.655536,2124.678502,214.578508,1:15,5.73167,2.22836,6.43661,-17.61355,13.33953,8.54434,2.97366,1.4186,86.07721,-4.75134,-0.106311,0.400427,,,,,,,,,,,,-4.89776,7.63949,-2.11427,50,5.62381,3.58927,-136.42782,-3.86008,-9.26037,29.11684,-17.7298,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,326c37d0-0386-11f1-8e19-276118046144,94.13056,,,7.77176,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:03:52.59,2026-02-06T11:03:52.5942272-07:00,2026-02-06T18:03:52.5942272Z,,v3,,,,"Hays, Austin",669720,Right,WHI_SOX30,49852f28-3aa0-4d04-b785-c08dddc0d063,54.06091,-137.29177,14.55842,5.73054,-3.334,-8.8649,-2.22485,3.86404,-4.63019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.06882,-137.53758,16.03855,-2.33666,5.73162,-3.36762,-8.66245,-0.31961,-2.22828,3.97073,-5.2726,1.01417
7,2026-02-06,11:04:21.51,2,3,"Smith, Shane",681343,Right,WHI_SOX30,"Adams, Mason",690279,Right,WHI_SOX30,Undefined,1,Top,1,2,0,Sinker,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,95.43953,-1.602786,-3.072654,2065.483036,235.065378,1:45,5.67907,2.24088,6.21571,-19.6993,10.33634,13.56906,2.55588,0.53344,88.10849,-5.29438,-0.62533,0.394448,,,,,,,,,,,,-7.79973,6.02918,-2.01718,50,5.54888,6.86391,-138.66421,-4.53751,-15.34836,27.90497,-20.3098,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,43a9ab90-0386-11f1-8e19-276118046144,95.55736,,,7.33104,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:04:21.51,2026-02-06T11:04:21.5115776-07:00,2026-02-06T18:04:21.5115776Z,,v3,,,,"Hays, Austin",669720,Right,WHI_SOX30,e2fa5247-c9f7-4bce-bd79-fcd5ba5baf46,54.28375,-139.52361,13.95249,5.67899,-3.91202,-10.1549,-2.23584,7.3366,-7.67418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.28977,-139.71585,15.14095,-1.92628,5.67905,-3.914,-10.14262,-0.0199,-2.24077,7.49383,-8.64617,1.57543
8,2026-02-06,11:04:41.33,2,4,"Smith, Shane",681343,Right,WHI_SOX30,"Adams, Mason",690279,Right,WHI_SOX30,Undefined,1,Top,1,2,1,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,89.12604,-0.556867,-2.91529,1286.285488,270.442023,3:00,5.74021,2.41531,6.45554,-33.19333,0.85122,11.28386,2.46187,0.67526,82.64182,-6.714785,-0.868927,0.419948,97.30564,-7.507022,-0.300785,,,,,17.6008,17.6008,-2.684867,0.116171,-6.65756,0.85232,-2.21396,50,5.68588,6.17657,-129.64278,-2.32943,-11.45952,24.21373,-30.70696,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,4f786fb0-0386-11f1-8e19-276118046144,89.7551,2.47076,,6.48422,,,,1.38753,2.47076,-0.6901,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:04:41.33,2026-02-06T11:04:41.3371392-07:00,2026-02-06T18:04:41.3371392Z,GroundBall,v3,,,,"Hays, Austin",669720,Right,WHI_SOX30,95468120-9e61-4436-aa31-827840b69e44,54.04541,-130.39616,12.10686,5.74349,-1.37402,-15.35348,-2.41169,6.53312,-5.72976,22.059163,1.38764,141.47651,-17.90871,,,,,,,2.47097,-18.66919,-22.40465,,,,,,,-0.69005,-0.749,-3.51684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.04995,-130.5377,12.96142,-1.35267,5.74026,-1.2732,-15.96222,0.96357,-2.41523,6.64354,-6.39642,1.05525
9,2026-02-06,11:05:20.97,3,1,"Smith, Shane",681343,Right,WHI_SOX30,"Adler, Eric",688328,Right,WHI_SOX30,Undefined,1,Top,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,89.93419,-2.447833,-3.808968,1503.811288,273.473945,3:00,5.55653,2.38442,6.28894,-33.77435,0.19764,13.35009,0.47988,-0.01834,83.13246,-8.672013,-1.395787,0.4195,,,,,,,,,,,,-7.97178,1.04894,-2.10997,50,5.35958,8.16095,-130.48568,-6.72672,-13.81413,26.14966,-30.35635,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,671dc020-0386-11f1-8e19-276118046144,89.85089,,,6.80173,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:05:20.97,2026-02-06T11:05:20.9746944-07:00,2026-02-06T18:05:20.9746944Z,,v3,,,,"Hays, Austin",669720,Right,WHI_SOX30,a3dfc3a4-3741-4a7c-a87b-0394064a57b6,54.21136,-131.32693,13.07483,5.56028,-5.75013,-15.17818,-2.37966,8.60536,-6.90706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.21654,-131.48609,14.0226,-1.4797,5.55659,-5.63692,-15.85238,1.0526,-2.38431,8.74835,-7.75854,1.32937
10,2026-02-06,11:05:42.74,3,2,"Smith, Shane",681343,Right,WHI_SOX30,"Adler, Eric",688328,Right,WHI_SOX30,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.04193,-3.41282,-3.310035,2210.759284,200.828008,12:45,5.62319,2.28604,6.47258,-14.71261,15.64627,5.58551,1.25409,-0.29158,87.0697,-6.225102,-2.298894,0.396565,,,,,,,,,,,,-3.84311,9.43536,-2.05513,50,5.37553,7.73967,-137.78097,-8.63603,-7.39405,30.36309,-14.02064,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,740f3250-0386-11f1-8e19-276118046144,95.04733,,,7.97223,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:05:42.74,2026-02-06T11:05:42.7409408-07:00,2026-02-06T18:05:42.7409408Z,,v3,,,,"Hays, Austin",669720,Right,WHI_SOX30,b642f260-b1c4-46c9-9347-43d2a41eaeb1,54.02548,-138.66524,15.18155,5.6211,-8.22771,-7.01032,-2.28367,7.95501,-3.69702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.03287,-138.90707,16.71666,-2.55477,5.62312,-8.29407,-6.58908,-0.70102,-2.28599,8.03102,-4.17955,0.80303
