,game_year,pitcher,player_name,Shape+,shape_rv,foul,barrel,solid,flr_brn,under,topped,weak,swstr,count,Name
0,2023,425794,"Wainwright, Adam",92,-0.00392,12.1,0.9,0.7,4.0,4.0,4.6,1.1,8.6,1712,Adam Wainwright
1,2023,425844,"Greinke, Zack",90,-0.00501,14.0,1.4,1.0,4.4,4.5,5.6,0.9,10.7,2218,Zack Greinke
2,2023,434378,"Verlander, Justin",95,-0.002,16.3,1.4,1.1,3.3,4.2,3.6,0.3,13.0,2878,Justin Verlander
3,2023,445276,"Jansen, Kenley",114,0.00897,18.2,0.6,0.4,2.3,3.4,3.2,1.6,13.2,721,Kenley Jansen
4,2023,445926,"Chavez, Jesse",88,-0.00612,18.9,1.7,1.3,4.6,5.0,6.0,1.5,9.2,577,Jesse Chavez
5,2023,446372,"Kluber, Corey",102,0.00197,17.9,1.0,0.9,3.6,5.8,3.9,1.4,9.9,981,Corey Kluber
6,2023,448179,"Hill, Rich",86,-0.00735,15.3,1.6,0.9,4.2,6.0,4.0,1.6,7.2,2530,Rich Hill
7,2023,450203,"Morton, Charlie",96,-0.00178,17.4,1.1,0.8,5.0,3.2,7.2,0.8,11.9,2841,Charlie Morton
8,2023,453178,"Kennedy, Ian",98,-0.00036,17.8,1.6,1.1,2.8,4.6,3.1,0.5,13.5,313,Ian Kennedy
9,2023,453268,"Bard, Daniel",87,-0.00659,19.3,1.6,1.5,5.9,4.8,8.1,0.8,10.7,933,Daniel Bard
10,2023,453286,"Scherzer, Max",101,0.00144,16.3,1.0,0.8,3.0,4.0,3.3,1.0,11.6,2607,Max Scherzer
11,2023,455119,"Martin, Chris",98,-0.00019,19.0,1.0,0.8,4.4,3.1,6.9,1.2,10.7,721,Chris Martin
12,2023,456501,"Cueto, Johnny",88,-0.00591,21.9,2.1,1.3,5.3,6.0,6.1,1.4,11.5,860,Johnny Cueto
13,2023,456713,"Bush, Matt",98,-0.00046,18.3,1.2,1.2,3.8,4.6,3.8,0.3,12.7,194,Matt Bush
14,2023,458681,"Lynn, Lance",99,0.00015,16.1,0.9,0.7,3.6,3.9,4.5,1.1,10.4,3213,Lance Lynn
15,2023,471911,"Carrasco, Carlos",96,-0.00126,18.0,1.7,1.3,5.0,3.5,8.6,0.7,15.3,1587,Carlos Carrasco
16,2023,472551,"Abad, Fernando",82,-0.00986,12.7,1.1,0.7,3.2,2.6,4.5,0.5,5.8,141,Fernando Abad
17,2023,472610,"García, Luis",105,0.00352,12.8,0.5,0.4,3.1,2.6,6.6,0.6,10.5,1010,Luis García
18,2023,476595,"Luetge, Lucas",95,-0.00187,13.5,1.1,1.1,3.4,4.1,3.9,0.5,12.0,283,Lucas Luetge
19,2023,477132,"Kershaw, Clayton",95,-0.00187,16.5,1.3,1.0,4.4,4.7,4.8,0.9,12.0,2059,Clayton Kershaw
20,2023,488984,"Hunter, Tommy",84,-0.0087,20.0,2.1,1.3,5.7,5.7,6.7,1.1,10.7,367,Tommy Hunter
21,2023,489119,"Miley, Wade",97,-0.00115,18.6,1.7,1.5,5.2,5.8,6.4,1.4,13.8,1873,Wade Miley
22,2023,489446,"Yates, Kirby",100,0.00108,20.4,1.5,0.8,4.4,3.6,7.8,0.5,13.9,1081,Kirby Yates
23,2023,493603,"Ottavino, Adam",103,0.00227,15.0,0.8,0.4,3.8,3.4,6.3,1.0,10.9,1024,Adam Ottavino
24,2023,500779,"Quintana, Jose",77,-0.01278,16.2,2.3,1.5,4.8,5.7,4.6,1.0,9.8,1229,Jose Quintana
25,2023,502043,"Gibson, Kyle",97,-0.0008,13.6,1.0,0.9,3.9,3.2,5.8,0.7,12.6,3065,Kyle Gibson
26,2023,502083,"McAllister, Zach",102,0.00221,8.8,0.1,0.3,1.1,1.7,1.8,0.2,9.0,123,Zach McAllister
27,2023,502085,"Robertson, David",115,0.00928,16.7,0.4,0.3,2.8,3.0,3.7,0.5,14.6,1100,David Robertson
28,2023,502171,"Cobb, Alex",102,0.00213,18.0,0.9,0.6,5.4,2.3,10.8,0.6,12.5,2506,Alex Cobb
29,2023,502179,"Espino, Paolo",102,0.00179,17.2,1.7,1.0,3.9,7.0,4.1,2.2,12.2,101,Paolo Espino
30,2023,502202,"Boxberger, Brad",91,-0.00438,20.5,2.0,1.6,4.7,6.8,4.8,1.4,11.5,338,Brad Boxberger
31,2023,502624,"Anderson, Chase",93,-0.00309,17.9,1.6,1.4,4.9,5.9,6.1,0.9,11.3,1446,Chase Anderson
32,2023,506433,"Darvish, Yu",102,0.00208,19.5,1.2,0.8,4.4,4.9,5.8,0.7,12.9,2217,Yu Darvish
33,2023,518397,"Alexander, Scott",82,-0.00966,16.4,1.3,1.2,7.1,1.9,13.2,0.7,9.0,694,Scott Alexander
34,2023,518489,"Brasier, Ryan",104,0.00299,22.1,1.5,1.4,5.0,4.6,7.0,1.2,15.6,926,Ryan Brasier
35,2023,518516,"Bumgarner, Madison",87,-0.00654,18.4,1.7,1.1,4.4,5.6,3.8,1.3,9.3,350,Madison Bumgarner
36,2023,518585,"Cruz, Fernando",96,-0.00175,18.3,1.7,1.2,4.1,5.2,4.8,0.8,13.5,1119,Fernando Cruz
37,2023,518617,"Diekman, Jake",94,-0.00244,13.0,0.7,0.2,2.5,2.0,3.3,0.5,8.6,1017,Jake Diekman
38,2023,518876,"Kelly, Merrill",94,-0.00267,20.0,1.8,1.4,5.1,4.3,8.0,0.8,13.9,3160,Merrill Kelly
39,2023,518886,"Kimbrel, Craig",114,0.009,13.3,0.3,0.2,1.4,2.0,2.4,0.2,14.3,1252,Craig Kimbrel
40,2023,519043,"Moore, Matt",102,0.00186,17.7,1.4,1.1,3.9,4.5,4.9,0.5,15.0,824,Matt Moore
41,2023,519151,"Pressly, Ryan",104,0.00299,14.7,0.8,0.7,3.2,2.7,5.8,0.2,13.3,1115,Ryan Pressly
42,2023,519242,"Sale, Chris",90,-0.00515,17.7,1.5,0.7,3.8,4.3,3.8,0.7,9.8,1670,Chris Sale
43,2023,519293,"Smith, Will",85,-0.00813,13.6,1.7,1.3,3.7,4.5,3.4,0.5,11.4,925,Will Smith
44,2023,523260,"Kelly, Joe",120,0.01254,18.7,0.4,0.3,3.1,2.2,7.4,0.8,14.7,743,Joe Kelly
45,2023,527048,"Pérez, Martín",80,-0.01055,18.3,2.1,1.5,5.3,5.1,7.2,1.1,9.5,2304,Martín Pérez
46,2023,527054,"Teheran, Julio",83,-0.00906,16.2,1.3,1.0,5.1,4.0,7.2,1.0,6.6,1080,Julio Teheran
47,2023,541640,"Ramírez, Erasmo",89,-0.00578,19.6,1.8,1.3,5.0,5.7,6.2,1.3,10.0,958,Erasmo Ramírez
48,2023,542585,"Cisnero, José",95,-0.00236,21.6,1.6,1.2,5.2,4.8,7.0,1.3,12.0,986,José Cisnero
49,2023,542881,"Anderson, Tyler",101,0.00112,16.7,1.4,1.1,3.7,6.3,3.6,1.2,11.9,2431,Tyler Anderson
50,2023,542888,"Armstrong, Shawn",104,0.00319,23.8,1.4,0.9,5.1,5.2,6.9,1.4,13.4,818,Shawn Armstrong
51,2023,542914,"Bass, Anthony",95,-0.00231,19.1,1.8,1.4,6.0,5.1,8.0,0.8,15.6,324,Anthony Bass
52,2023,542947,"Bleier, Richard",97,-0.00082,16.2,0.7,0.7,3.9,2.7,5.8,1.3,9.2,456,Richard Bleier
53,2023,543037,"Cole, Gerrit",112,0.00799,21.8,1.1,0.9,3.8,4.3,4.8,0.6,17.0,3279,Gerrit Cole
